Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Wellington High Moa fTemp,Wellington High Moa fPrecp,Wellington High Moa cm,Wellington High Moa stat,Wellington High Moa,Restriction level
28/10/2024,302,4.0,3,10,31,1,0,25.38329826845752,26.729122835571896,15,16.0,5.7,7.8,3.1904761904761907,1,27.59999999999998,27.60000000000006,27.600000000000044,26.199999999999967,22.800000000000193,8.000000000000071,3,8.0,14.8,3.4,4.0,2.0,3.0,0.4520722039323045,24.938377186772286,26.031747516758934,0.8954183137021474,0.999840192008136,0.9340139196593192,167,0.0,0.0
29/10/2024,303,6.4,3,10,31,0,1,26.706638614766014,25.38329826845752,16,15.0,4.6,5.7,19.80952380952381,9,31.59999999999998,31.60000000000006,30.200000000000045,26.79999999999997,12.00000000000019,4.000000000000071,3,4.0,8.0,14.8,3.0,4.0,2.0,0.46735921715800205,26.218432236173417,24.938377186772286,0.9251270997870064,0.998428113460459,0.9340139196593192,226,0.0,0.0
30/10/2024,304,4.6,2,10,31,0,2,25.965310891812813,26.706638614766014,15,16.0,5.7,4.6,19.285714285714285,0,37.99999999999998,36.60000000000006,33.200000000000045,18.399999999999963,10.400000000000192,6.400000000000071,3,6.4,4.0,8.0,3.0,3.0,4.0,0.4825077417612184,25.635029448452716,26.218432236173417,0.8954183137021474,0.998428113460459,0.9340139196593192,219,0.0,0.0
31/10/2024,305,2.0,3,10,31,0,3,22.772248713450253,25.965310891812813,18,15.0,11.9,5.7,3.8095238095238093,0,41.19999999999998,37.80000000000006,23.000000000000043,14.999999999999964,11.000000000000192,4.600000000000071,3,4.6,6.4,4.0,2.0,3.0,3.0,0.4975132889071803,22.800879434728113,25.635029448452716,0.9885236861586202,0.9985827083893201,0.9340139196593192,259,0.0,0.0
01/11/2024,306,0.0,3,11,30,0,4,18.217798970760203,22.772248713450253,18,18.0,6.2,11.9,0.0,0,39.79999999999998,25.000000000000057,17.000000000000043,12.999999999999964,6.6000000000001915,2.000000000000071,3,2.0,4.6,6.4,3.0,2.0,3.0,0.5123714121284235,18.667781190435218,22.800879434728113,0.9885236861586202,1.0,1.0728701509120866,314,0.0,0.0
02/11/2024,307,0.0,4,11,30,0,5,14.574239176608163,18.217798970760203,18,18.0,0.4,6.2,1.9523809523809523,0,24.99999999999998,17.000000000000057,13.000000000000043,6.599999999999964,2.000000000000192,0.0,3,0.0,2.0,4.6,3.0,3.0,2.0,0.5270777086423716,15.28388655234001,18.667781190435218,0.9885236861586202,1.0,1.0728701509120866,275,0.0,0.0
03/11/2024,308,0.0,4,11,30,0,6,11.65939134128653,14.574239176608163,18,18.0,0.4,0.4,0.23809523809523808,0,16.99999999999998,13.000000000000057,6.600000000000042,1.9999999999999645,0.0,0.0,3,0.0,0.0,2.0,4.0,3.0,3.0,0.5416278206559811,12.513387946955774,15.28388655234001,0.9885236861586202,1.0,1.0728701509120866,223,0.0,0.0
04/11/2024,309,0.0,3,11,30,0,0,9.327513073029225,11.65939134128653,18,18.0,3.2,0.4,0.0,3,12.999999999999979,6.6000000000000565,2.0000000000000426,0.0,0.0,0.0,3,0.0,0.0,0.0,4.0,4.0,3.0,0.5560174366570438,10.245095537368043,12.513387946955774,0.9885236861586202,0.9995223372731967,1.0728701509120866,275,0.0,0.0
05/11/2024,310,6.0,2,11,30,0,1,13.46201045842338,9.327513073029225,18,18.0,3.3,3.2,0.0,3,6.599999999999978,2.000000000000057,4.263256414560601e-14,-3.552713678800501e-14,1.9184653865522705e-13,7.105427357601002e-14,3,0.0,0.0,0.0,3.0,4.0,4.0,0.5702422926917867,13.826052192325754,10.245095537368043,0.9885236861586202,0.9990499259811003,1.0728701509120866,273,0.0,0.0
06/11/2024,311,3.8,2,11,30,0,2,14.569608366738706,13.46201045842338,18,18.0,0.0,3.3,8.380952380952381,0,7.99999999999998,6.000000000000058,6.0000000000000435,5.999999999999965,6.000000000000193,6.000000000000072,3,6.0,0.0,0.0,2.0,3.0,4.0,0.5842981736283683,14.763929815036692,13.826052192325754,0.9885236861586202,0.9990499259811003,1.0728701509120866,223,0.0,0.0
