Date,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
2009-02-03,336.4886809,272.7069407,209.9205887,283.1280179,257.3406566,331.4898401,332.4269357,322.6930483,264.5343368,255.926632
2009-02-04,261.7401721,385.4726835,219.6395908,211.1106732,234.8587121,309.601464,310.4750964,269.5691893,207.8379704,201.0779011
2009-02-05,277.537717,315.8769339,216.2558568,241.4420527,242.3569177,303.5802222,304.4353082,269.8593783,227.4817219,220.0857774
2009-02-06,307.7390105,317.2672421,330.5316472,298.1629023,265.3691542,226.712638,227.3500515,313.5759678,251.3059708,243.1388166
2009-02-07,343.980651,345.4700711,276.5254093,305.7895991,264.7098246,229.9718397,230.6172382,331.8793592,287.6944316,278.3485529
2009-02-08,376.3032206,299.8149215,286.2508262,358.2828198,301.6885556,325.5235077,326.4353968,327.5901641,291.2229991,281.766399
2009-02-09,287.4798926,372.1403214,239.4199133,237.8132198,228.8121242,321.4720709,322.3709636,303.943408,219.3997786,212.2783661
2009-02-10,264.2690408,289.9334466,133.873953,196.3910897,194.1217604,336.1540367,337.0922604,262.7773809,203.741103,197.1306816
2009-02-11,291.4833464,272.7306393,200.397393,193.7659608,225.7780799,298.5686352,299.4004265,282.6677127,189.4541282,183.3097912
2009-02-12,259.3503877,212.3240502,118.9926246,140.9568262,185.4407039,320.0506822,320.9406812,247.8200976,189.4193944,183.278724
2009-02-13,223.7610445,251.6888699,191.8426248,222.311555,193.7836465,291.6062957,292.4157025,254.9771119,183.5941208,177.6447581
2009-02-14,241.9761057,248.1694601,192.7253918,224.2668821,221.1965507,237.8724369,238.5314769,276.0124295,235.1531604,227.5361815
2009-02-15,293.2351044,177.5747398,260.0059543,231.3562353,252.9304734,235.2860675,235.9367366,302.0516497,227.6028495,220.2334888
2009-02-16,227.9620473,271.5734442,101.0643056,196.2664004,166.409514,338.665074,339.5998965,255.0304027,201.8121338,195.2805348
2009-02-17,272.4998223,436.2602705,251.8018689,259.6916684,262.8117505,360.3733928,361.3662911,311.1030877,244.9213722,236.9978373
2009-02-18,273.7843948,261.96477,185.4755988,250.1270945,231.9571403,325.6551022,326.5506769,306.3318723,237.12297,229.4549031
2009-02-19,270.6675232,283.4309089,172.9920601,228.9038665,229.4423382,321.3213479,322.2033585,276.7537602,199.3651555,192.9207711
2009-02-20,267.2767365,249.2324548,176.7002257,168.4751292,176.3650091,234.8396826,235.4831027,255.4249529,164.4068993,159.0947282
2009-02-21,232.3551685,137.1197227,144.2494605,210.3873111,224.2153878,206.1878595,206.7517226,297.4962385,218.0790668,211.0356113
2009-02-22,248.3563215,286.5658197,210.5754988,215.103611,246.2250917,240.0987563,240.754126,258.3424569,251.9915997,243.856225
2009-02-23,281.2648733,367.1156582,224.6994417,255.5860284,256.0912468,321.1850648,322.0601214,310.7824324,234.8527979,227.2738858
2009-02-24,239.498186,297.4662671,204.9474383,218.3901929,244.9244958,301.0416871,301.8603222,274.4476942,182.658567,176.7664584
2009-02-25,235.9670959,253.9353204,169.5742037,218.7332139,232.8687802,301.8812229,302.7005949,277.4062716,213.0937003,206.2226868
2009-02-26,268.1210753,351.7506774,206.8216194,232.2467855,247.8584587,270.7783361,271.5119015,253.5390764,201.797373,195.2933042
2009-02-27,222.6411823,270.1696777,181.8278894,201.2682015,199.7537201,227.2614492,227.8759593,265.2935573,171.1587565,165.6444857
2009-02-28,215.0194086,184.3577638,144.1729319,183.5813262,193.6696472,171.8477393,172.3115319,257.8699746,202.9123181,196.3777534
2009-03-01,261.4971024,271.5211034,192.8631291,243.8774386,246.3388389,201.9693068,202.5133591,252.7243883,254.923435,246.717327
2009-03-02,265.9697747,241.5910819,174.7810694,221.052653,240.4433563,311.6813289,312.5193207,308.9496714,210.5616546,203.7863956
2009-03-03,292.7194788,243.5573538,175.3002115,219.6466923,222.8313572,330.0604723,330.9461886,264.5613438,188.9102136,182.8341665
2009-03-04,297.8041507,345.3439999,205.1308208,238.5911873,237.0444337,358.4271848,359.387188,286.1436148,234.2101192,226.6801994
2009-03-05,272.3050321,277.9276739,187.8111316,219.818319,222.4292505,288.8121382,289.5842073,254.0755728,208.8143129,202.1036736
2009-03-06,238.3479016,288.0645273,161.800002,185.6407961,180.1828106,238.0594405,238.6946159,268.2056865,161.9796456,156.7762968
2009-03-07,233.4847135,233.0435718,197.1858585,215.6019811,214.0011877,173.7345114,174.1971696,272.3579072,220.9289619,213.8349169
2009-03-08,292.3957964,296.1299094,235.0568399,250.6468554,244.4891532,252.028455,252.6983212,275.5571925,253.7794486,245.6339726
2009-03-09,251.4818599,264.5614726,159.2290339,221.2618021,226.3613174,297.6973519,298.4870775,264.9843488,209.5364317,202.8138171
2009-03-10,253.1685738,254.2789394,171.0996545,204.8918133,206.4118092,327.5088371,328.3759694,267.1585075,197.8047777,191.4612034
2009-03-11,229.6000154,285.3704109,167.9770516,200.5802383,203.6190388,259.9057408,260.5925526,269.860532,194.1792321,187.9545304
2009-03-12,224.0663437,289.0901006,189.3861496,228.9130688,217.5003534,287.5082456,288.2665266,263.7174198,196.3272627,190.0363332
2009-03-13,224.6874765,224.7282046,172.8609134,201.7964672,205.4534897,208.3109002,208.859238,258.9070366,174.5189702,168.9291836
2009-03-14,250.5039273,279.3228846,222.039525,237.8941204,238.2107939,200.2689947,200.7951387,289.6226922,243.4348721,235.6409928
2009-03-15,287.2952625,359.4700156,234.8545936,278.8148431,271.2144681,248.0062653,248.6565548,273.8386624,289.7440119,280.471368
2009-03-16,287.6217521,337.0356623,188.0845602,231.7569632,247.7357347,323.1669522,324.0126642,306.2254776,277.3246433,268.4531702
2009-03-17,263.7794668,284.2324617,183.0418963,246.6251146,242.5239557,342.3842555,343.2785059,299.8479364,208.494641,201.8277975
2009-03-18,286.7773288,272.4550306,195.2252482,214.3017114,220.8009584,298.2607768,299.0382577,276.4562965,205.4101519,198.84469
2009-03-19,216.3627398,293.3707596,148.8258815,214.2210668,210.4144883,310.9272125,311.73612,257.9047811,192.5682775,186.415856
2009-03-20,237.4520597,277.7832441,184.4498441,199.1437908,204.277884,231.4365702,232.0374907,251.3501013,190.2226155,184.1476844
2009-03-21,218.6336667,190.2442551,166.6561773,214.0662918,214.5106092,191.5559354,192.0523264,283.5063945,229.1838636,221.8677397
2009-03-22,234.217735,284.1212918,211.6429377,212.3098466,221.6883779,216.1666359,216.725696,249.2907555,224.8626389,217.6874712
2009-03-23,198.2977426,256.8249223,158.1749136,182.9703361,192.2432824,279.3375375,280.0585437,259.66992,183.067855,177.2287739
2009-03-24,268.868137,233.0658726,164.4452187,224.0267577,225.8216701,315.8355897,316.6491861,273.7281629,201.3381709,194.9190416
2009-03-25,218.1013153,141.7732417,122.5148322,200.7397292,212.6750773,302.3641853,303.1415321,273.8797561,208.9126841,202.2548597
2009-03-26,260.1016677,452.6308055,206.5052182,233.5080367,227.5185405,320.2149432,321.0365441,256.0116418,214.7027502,207.863278
2009-03-27,195.7964074,223.8943061,185.5990676,180.5257823,189.9327891,294.3383017,295.0920029,284.7426601,186.0650454,180.1403346
2009-03-28,291.2792255,322.3977584,207.0995464,252.3407667,257.4571574,241.3997511,242.0166596,296.8549774,238.2351173,230.6523899
2009-03-29,240.6377959,267.5742399,216.956313,246.7951497,256.1993396,254.9348902,255.5850842,272.6772781,251.2597283,243.2658084
2009-03-30,291.1909175,297.9321752,150.0345808,231.5790916,236.2568055,340.6580885,341.5251709,306.4454294,214.1610958,207.3503504
2009-03-31,213.5882266,264.2068917,157.3780477,207.0599103,164.1643215,311.2346653,312.0252637,276.8520453,190.5988554,184.5399879
2009-04-01,240.2375961,275.4449271,160.5424084,210.7318974,219.0022659,336.3837586,337.23652,277.0774769,205.343057,198.818242
2009-04-02,237.9015742,260.8019874,211.2314737,220.7769036,225.453199,309.5838215,310.3670591,277.0849974,211.6033786,204.882474
2009-04-03,224.2229119,288.4898305,190.4217035,219.9965406,228.6998464,326.2088166,327.0324463,282.8297053,205.7342317,199.2024965
2009-04-04,270.1545947,275.3735326,216.3703339,235.8461258,242.2386041,257.7472262,258.3966821,291.6350337,233.8104831,226.3905021
